,Titlu,Titlu2,Autor,Nationalitate,GenWiki
295,Moftangii,Moftangii,Ion Luca Caragiale,Nationala,proza
296,Criticilor mei (Eminescu),Criticilor mei,Mihai Eminescu,Romana,poezie
297,Murmură glasul mării,Murmură glasul mării,Mihai Eminescu,Romana,poezie
298,Ultima oră,Ultima oră,Ion Luca Caragiale,Nationala,proza
299,O viață de om așa cum a fost/Intervenția militară a României,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
300,Mă-ntrebai dragă-ntr-o zi,Mă-ntrebai dragă-ntr-o zi,Mihai Eminescu,Romana,poezie
301,Diplomație,Diplomație,Ion Luca Caragiale,Nationala,proza
302,Felicitare lui Samson Bodnărescu,Felicitare lui Samson Bodnărescu,Mihai Eminescu,Romana,poezie
303,D'ale carnavalului,D’ale carnavalului - Comedie în 3 acte,Ion Luca Caragiale,Nationala,comedie
304,Corespunderi,Corespunderi,Charles Baudelaire,Franceza,poezie
305,Crăiasa din povești,Crăiasa din povești,Mihai Eminescu,Romana,poezie
306,Balada XV: Zâna și Peri,Balade,Victor Hugo,Franceza,balade
307,Comoara misterioasă,Comoara misterioasă,Mihai Eminescu,Romana,proza
308,Archaeus,Archaeus,Mihai Eminescu,Romana,proza
309,Egipetul,Egipetul,Mihai Eminescu,Romana,poezie
310,Aspra,Aspra,Mateiu Caragiale,Romana,poezie
311,Noapte bună,Noapte bună,Duiliu Zamfirescu,Romana,proza
312,Noaptea... (Eminescu),Noaptea...,Mihai Eminescu,Romana,poezie
313,Înger și demon,Înger și demon,Mihai Eminescu,Romana,poezie
314,Noi amândoi avem același dascăl,Noi amândoi avem același dascăl,Mihai Eminescu,Romana,poezie
315,Cine-i?,Cine-i?,Mihai Eminescu,Romana,poezie
316,Cucoana Chirița în balon,Cucoana Chirița în balon,Vasile Alecsandri,Nationala,comedie
317,Bubico,Bubico,Ion Luca Caragiale,Nationala,proza
318,Odă,Odă (în metru antic),Mihai Eminescu,Romana,poezie
319,Odă (în metru antic),Odă (în metru antic),Mihai Eminescu,Romana,poezie
320,Morții la vot,Morții la vot,Anton Bacalbașa,Romana,pamflet
321,Nu e steluță,Nu e steluță,Mihai Eminescu,Romana,poezie
322,Nu voi mormânt bogat,Nu voi mormânt bogat(variantă),Mihai Eminescu,Romana,poezie
323,"Din periodice/Din Timpul, ianuarie 1879",Din periodice,Mihai Eminescu,Romana,articol
